FilePath,ID,AuthorsNote,StrideSpeed,StrideLengthFR,StepLengthFR,StepWidthFR,StrideLengthFL,StepLengthFL,StepWidthFL,StrideLengthBR,StepLengthBR,StepWidthBR,StrideLengthBL,StepLengthBL,StepWidthBL,TemporalSymmetryF,TemporalSymmetryB,DutyFactorF,DutyFactorB,AngularVelocity,NoseLateralDisplacementBR,NoseLateralDisplacementPhaseOffsetBR,TailLateralDisplacementBR,TailLateralDisplacementPhaseOffsetBR
1575\1575_20260629B_2025-06-29-190900-0000DLC_resnet50_Wheel_runningJul16shuffle1_100000_filtered.csv,1575,Training video,0.34420444,0.011750743104325,0.243902600483595,0.0707090326770782,0.0172460847869413,0.244068613910233,0.0770715264542043,0.0105664861726467,0.528039179772304,0.175668672503423,0.00717668735550473,0.527535061413972,0.170789017681961,0.018625511,0.008627144,62.67431773,63.84165893,5.11078658434952e-07,0.00215317820791888,0.53081709,0.00714467389136243,0.550161836
1575\1575_20260630_2025-06-30-160157-0000DLC_resnet50_Wheel_runningJul16shuffle1_100000_filtered.csv,1575,60 DPI,0.192780491,0.00486777283726878,0.215095255464177,0.0670123082223143,0.00463568396216581,0.214772801816477,0.0659639583917099,0.00414954744505352,0.480598736038626,0.290546300096988,0.00225245052973685,0.482603633137077,0.286913309676518,0.009633229,-0.006013336,57.0287127,57.57808334,4.95190444976742e-07,0.000869959774623645,0.532162084,0.00231790116411501,0.543254639
1578\1578_20260626_2025-06-26-181738-0000DLC_resnet50_Wheel_runningJul16shuffle1_100000_filtered.csv,1578,Training video,0.306413185,0.011103661568457,0.203379826783023,0.162680683998762,0.00821343556259297,0.200572627162918,0.162645755827201,0.00834179408364497,0.715892172230245,0.148062110235076,0.00538279424936046,0.715211945329207,0.146566669079065,-0.009560743,-0.024812399,55.06730951,54.54082513,3.79181012777107e-06,0.00179448531309322,0.530443716,0.0166399353473345,0.562370643
1578\1578_20260627_2025-06-27-163707-0000DLC_resnet50_Wheel_runningJul16shuffle1_100000_filtered.csv,1578,Training video,0.08962888,0.00286720773254897,0.200918789690159,0.0755829904655494,0.00288044803517789,0.199981764653251,0.0723414946112084,0.00185639454707891,0.685669396218389,0.0626622784063284,0.00135353199058021,0.68651191072619,0.0639471916154789,0.017627575,0.005666084,55.44704014,56.42443701,-3.11e-07,0.00093870036488813,0.530835189,0.00156408605315874,0.537300138
1578\1578_20260628_2025-06-28-163309-0000DLC_resnet50_Wheel_runningJul16shuffle1_100000_filtered.csv,1578,Training video,0.112940251,0.0030622942049254,0.214791231950044,0.0906680928257735,0.00326010822044727,0.214579168890216,0.0915469749551435,0.00253232806605382,0.703293389342555,0.106680699336098,0.0017634159107957,0.703776134018036,0.105832170884589,0.006751737,0.004218241,57.4343985,57.82218045,-5.32e-07,0.000992521779464753,0.529503948,0.00177728864645151,0.535731147
1578\1578_20260629A_2025-06-29-140137-0000DLC_resnet50_Wheel_runningJul16shuffle1_100000_filtered.csv,1578,Training video,0.117331853,0.0038180605358319,0.220659417550541,0.118693770220588,0.00432105500139587,0.220139789144231,0.118041816468623,0.00258690634479006,0.627098210475958,0.127977681048761,0.00176716353428829,0.628284654873127,0.129749484528309,0.014943145,0.012240767,57.20161495,58.05638695,2.33041520504653e-07,0.00117439272792798,0.534262197,0.00185697177157461,0.540077706
1578\1578_20260629B_2025-06-29-181710-0000DLC_resnet50_Wheel_runningJul16shuffle1_100000_filtered.csv,1578,Training video,0.126295217,0.00398550622271923,0.17506273476234,0.0533350408785705,0.00436131314426459,0.175314563621687,0.0546214574120987,0.00283718886285497,0.618398780883593,0.135938889794867,0.00174433470835896,0.61734214791509,0.136182203345034,0.01144084,0.004400003,55.90740663,56.54703435,-6.47e-07,0.00240911542809615,0.528623579,0.00232487001926357,0.545473234
1578\1578_20250713_2025-07-13-161517-0000DLC_resnet50_Wheel_runningJul16shuffle1_100000_filtered.csv,1578,Training video,0.128535261,0.0200736437077996,0.266096217048947,0.175952826528693,0.00754082795270067,0.266540992198641,0.174481417384741,0.00285490266353044,0.854785756504559,0.252221373194459,0.0072411037611536,0.858766212762019,0.247977011496684,0.020964713,0.008403361,54.8884575,56.03917825,-2.94e-06,0.0206406068686512,0.53793759,0.00257817540202884,0.529567383
1578\1578_20250718_2025-07-18-142224-0000DLC_resnet50_Wheel_runningJul16shuffle1_100000_filtered.csv,1578,60 DPI,0.069371653,0.00213143005804631,0.119728513762214,0.210773687936044,0.00544288518382896,0.121839700235854,0.213879813694369,0.00201661699055762,0.386083834524589,0.0385955148629275,0.00704337162200613,0.385305577005982,0.0386000883534434,-0.011065746,0.003250044,55.91800143,55.29922703,4.71134086401316e-07,0.000530804515711774,0.525881026,0.00122730288360026,0.518354543
1579\1579_20260626_2025-06-26-174948-0000DLC_resnet50_Wheel_runningJul16shuffle1_100000_filtered.csv,1579,Training video,0.42631848,0.0166876280327806,0.214860112642367,0.238320971656396,0.0184569787967064,0.21369900653539,0.249303574442278,0.0706708207241321,0.458650024968814,0.319582526984382,0.0118287636560884,0.460864621747821,0.33525422816276,0.018455994,0.028751081,57.87406294,58.94218628,-3.9e-06,0.00675651541293208,0.533241865,0.0466007077724424,0.512723344
