FilePath,ID,AuthorsNote,StrideSpeed,StrideLengthFR,StepLengthFR,StepWidthFR,StrideLengthFL,StepLengthFL,StepWidthFL,StrideLengthBR,StepLengthBR,StepWidthBR,StrideLengthBL,StepLengthBL,StepWidthBL,TemporalSymmetryF,TemporalSymmetryB,DutyFactorF,DutyFactorB,AngularVelocity,NoseLateralDisplacementBR,NoseLateralDisplacementPhaseOffsetBR,TailLateralDisplacementBR,TailLateralDisplacementPhaseOffsetBR,StrideCountPerFrameFR,StrideCountPerFrameFL,StrideCountPerFrameBR,StrideCountPerFrameBL
1777\1777_20260723_2026-07-23-152056-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1777,150 DPI,-0.0502049675013882,0.361321926139251,0.321036756919006,0.274238450697442,0.212021923957817,0.341595561679401,0.203438931229952,0.246338275782132,0.510872007724926,0.378857220998684,0.419406520321784,0.323618118646652,0.182167565894158,-0.00508463667374649,-0.028460651204158,58.26375,59.9658333333333,-1.1657965067388e-07,0.000762563132286548,0.534759890402894,0.00918709913938044,0.531721122066168,0.0012,0.00469166666666667,0.0015,0.0165916666666667
1777\1777_20260723_2026-07-23-152056-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1777,LDOPA,-0.449396932790935,0.101797313868841,0.193037932987616,0.120258134633183,0.194009576252219,0.163050885479794,0.168524458982781,0.336872024979202,0.446261490790684,0.193643260817319,0.174235280702932,0.452566789167614,0.175396563557923,0.0201542797245811,0.0470394654206547,66.3831968066933,66.3444471296072,2.55373085295024e-06,0.00134961419013686,0.524241789225884,0.0329253266451335,0.521750890961496,0.0142915475704369,0.0110999075007708,0.0305330788910092,0.0103665802784977
1716\1716_20260616_2026-06-16-154859-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1716,LDOPA,-0.564238935927173,0.20675318676136,0.286137258051875,0.173701209822371,0.209211390443466,0.353231413771666,0.205532951839101,0.206397763602302,0.576019264232991,0.194203744327363,0.235210405376272,0.594588915682207,0.212719600643008,-0.044103604285893,0.000164133124589714,63.2690560911992,66.0027833101391,-2.05830115665805e-06,0.00479591305839379,0.521254180766358,0.0645563831765776,0.525759171850042,0.0158498679177674,0.0230248081265989,0.0134415546537112,0.0155915367371939
1715\1715_20260617_2026-06-17-191801-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1715,LDOPA,-0.536736349949248,0.296251852888526,0.26506449133676,0.31550585090244,0.248959720215432,0.284040740294524,0.183845730385392,0.447203690955803,0.310705152224704,0.146716824226651,0.351137846483401,0.364890324568747,0.234352160446847,-0.0214773448247701,-0.0636604934184788,66.3290305914117,69.2273397721686,-2.51960945477665e-05,0.0205724727647257,0.517484091561169,0.163676893032368,0.532529838604447,0.0206414946542112,0.0217914850709577,0.0235081374321881,0.0381663486137616
1559\1559_20250710_2025-07-10-115337-0000DLC_resnet50_Wheel_runningJul16shuffle1_100000_filtered.csv,1559,Training video,-0.0814771442896956,0.0997713779506482,0.187357608563815,0.113958413531578,0.0733260125162948,0.184236032851564,0.0933012801894796,0.168108890179588,0.461242335884321,0.189060702164636,0.244009046499239,0.357459907634624,0.145636998320212,-0.0047755889661683,-0.00898128503548451,57.8903801334083,59.2819255806478,-1.79408614443676e-06,0.00137762938647571,0.530115590292696,0.00285067218883393,0.530265992104347,0.00345575825765491,0.00343164831632243,0.00141444989150526,0.0027887165474564
1559\1559_20250715_2025-07-15-123041-0000DLC_resnet50_Wheel_runningJul16shuffle1_100000_filtered.csv,1559,Training video,-0.755364300170498,0.23197696511411,0.210725295451339,0.194531777679158,0.145974346813204,0.201702863947732,0.156881123450967,0.338754141448303,0.467561581449348,0.146543896510483,0.31493143185626,0.483553157355697,0.171010457348695,-0.041302663567631,-0.00270550276766425,60.4706015395924,68.2214719020348,-3.64568118609144e-08,0.0245500215369251,0.527677193026414,0.0158144804754892,0.516721855846216,0.0187238992237417,0.0209210090550004,0.0100485464341392,0.0103797284307628
1559\1559_20250714_2025-07-14-111408-0000DLC_resnet50_Wheel_runningJul16shuffle1_100000_filtered.csv,1559,Training video,-0.579509491249729,0.21061573047405,0.231986322689183,0.178144415207904,0.143605147130886,0.237545040496973,0.158096646369885,0.317145881987039,0.442743794932387,0.167067104329444,0.318132037825926,0.455697051087195,0.177908319888616,-0.0177504632577573,-0.000674754905203497,57.7356168005023,62.4425828624302,-1.04083235120307e-05,0.0218945586880541,0.525584615359223,0.0120838704969801,0.51679270176489,0.0147962724298602,0.0138957734377582,0.00742705132018109,0.00731139089917716
1559\1559_20250709_2025-07-09-122508-0000DLC_resnet50_Wheel_runningJul16shuffle1_100000_filtered.csv,1559,Training video,-0.153137536470384,0.1356969898981,0.200027093926566,0.143728036875041,0.104152569890233,0.224445646146688,0.130521843284688,0.221292661394621,0.428025156943741,0.208145299664863,0.233591957129481,0.409987759378758,0.159072740940608,-0.00702870830503026,-0.0076323303316495,56.285114055281,58.6358441056682,7.3814082018466e-07,0.00188430639515714,0.531253898004783,0.00768857350312852,0.531812374256862,0.00590801526103125,0.00620583074421675,0.00290571322783689,0.00381525781161963
1559\1559_20250713_2025-07-13-130845-0000DLC_resnet50_Wheel_runningJul16shuffle1_100000_filtered.csv,1559,Training video,-0.471114364918562,0.186617280456226,0.213946364826122,0.180089381508208,0.153839863193276,0.204790734865714,0.147357964793186,0.317316263492566,0.425779758069301,0.153689402383856,0.317487758948507,0.429016273725302,0.155602951090907,-0.00890078163509608,-0.00453445791414945,58.3241609304924,62.1338568448029,-5.67222464693998e-07,0.00729652355355764,0.52927700546223,0.00794342062636888,0.520512346646055,0.0119186476318772,0.0098897668840663,0.0056020108097452,0.005618438993938
1559\1559_20250711_2025-07-11-115857-0000DLC_resnet50_Wheel_runningJul16shuffle1_100000_filtered.csv,1559,Training video,-0.286265047935136,0.144221100186182,0.205635617145563,0.141404032987742,0.135101192042642,0.210849792427035,0.146141011505894,0.265021930740922,0.449950326826379,0.200726097191362,0.256878491412848,0.42734103047506,0.178630174874387,-0.00482228969458833,-0.00677644507691269,57.1961524631428,60.2995979209571,-9.04219455381664e-07,0.00981111378217689,0.53384918446661,0.00771483790692585,0.525987918175498,0.00961884214311399,0.00903043378771534,0.0044620966951064,0.00579418783302278
