FilePath,ID,AuthorsNote,StrideSpeed,StrideLengthFR,StepLengthFR,StepWidthFR,StrideLengthFL,StepLengthFL,StepWidthFL,StrideLengthBR,StepLengthBR,StepWidthBR,StrideLengthBL,StepLengthBL,StepWidthBL,TemporalSymmetryF,TemporalSymmetryB,DutyFactorF,DutyFactorB,AngularVelocity,NoseLateralDisplacementBR,NoseLateralDisplacementPhaseOffsetBR,TailLateralDisplacementBR,TailLateralDisplacementPhaseOffsetBR,StrideCountPerFrameFR,StrideCountPerFrameFL,StrideCountPerFrameBR,StrideCountPerFrameBL
1777\1777_20260723_2026-07-23-152056-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1777,150 DPI,-0.0502049675013882,0.361321926139251,0.274238450697442,0.321036756919006,0.212021923957817,0.203438931229952,0.341595561679401,0.246338275782132,0.378857220998684,0.510872007724926,0.419406520321784,0.182167565894158,0.323618118646652,-0.00264048119184408,-0.0128458288213686,98.7825,98.11875,-1.1657965067388e-07,0.00786242981629407,0.510164241772542,0.209812337889749,0.499236009611117,0.0012,0.00469166666666667,0.0015,0.0165916666666667
1777\1777_20260723_2026-07-23-152056-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1777,LDOPA,-0.449396932790935,0.101797313868841,0.120258134633183,0.193037932987616,0.194009576252219,0.168524458982781,0.163050885479794,0.336872024979202,0.193643260817319,0.446261490790684,0.174235280702932,0.175396563557923,0.452566789167614,0.00806963950203429,0.0109335198938041,92.4754793710052,92.909225756452,2.55373085295024e-06,0.00328661641465738,0.498419083694064,0.0837932539243446,0.489407847891431,0.0142915475704369,0.0110999075007708,0.0305330788910092,0.0103665802784977
1716\1716_20260616_2026-06-16-154859-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1716,LDOPA,-0.564238935927173,0.20675318676136,0.173701209822371,0.286137258051875,0.209211390443466,0.205532951839101,0.353231413771666,0.206397763602302,0.194203744327363,0.576019264232991,0.235210405376272,0.212719600643008,0.594588915682207,-0.00819368386379543,0.0094208884615558,91.0754910375747,92.3029808084933,-2.05830115665805e-06,0.0277557025063859,0.51967900406626,0.257576250039894,0.594483734825672,0.0158498679177674,0.0230248081265989,0.0134415546537112,0.0155915367371939
1715\1715_20260617_2026-06-17-191801-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1715,LDOPA,-0.536736349949248,0.296251852888526,0.31550585090244,0.26506449133676,0.248959720215432,0.183845730385392,0.284040740294524,0.447203690955803,0.146716824226651,0.310705152224704,0.351137846483401,0.234352160446847,0.364890324568747,-0.00497324577964835,-0.0236344945745289,90.483412638228,91.1971566903609,-2.51960945477665e-05,0.0679426761316927,0.496332148027311,0.50370273732096,0.517250295561901,0.0206414946542112,0.0217914850709577,0.0235081374321881,0.0381663486137616
1559\1559_20250710_2025-07-10-115337-0000DLC_resnet50_Wheel_runningJul16shuffle1_100000_filtered.csv,1559,Training video,-0.0814771442896956,0.0997713779506482,0.113958413531578,0.187357608563815,0.0733260125162948,0.0933012801894796,0.184236032851564,0.168108890179588,0.189060702164636,0.461242335884321,0.244009046499239,0.145636998320212,0.357459907634624,-0.000228472579210637,-0.000579386012892351,98.4915213372981,99.177449168207,-1.79408614443676e-06,0.040257897927171,0.446036184996256,0.121096854162613,0.529778232494509,0.00345575825765491,0.00343164831632243,0.00141444989150526,0.0027887165474564
1559\1559_20250715_2025-07-15-123041-0000DLC_resnet50_Wheel_runningJul16shuffle1_100000_filtered.csv,1559,Training video,-0.755364300170498,0.23197696511411,0.194531777679158,0.210725295451339,0.145974346813204,0.156881123450967,0.201702863947732,0.338754141448303,0.146543896510483,0.467561581449348,0.31493143185626,0.171010457348695,0.483553157355697,-0.00547979326234507,0.00222170353657167,90.8028336254735,93.439365422984,-3.64568118609144e-08,0.119399876626784,0.505698824501167,0.131462365602286,0.46274214556747,0.0187238992237417,0.0209210090550004,0.0100485464341392,0.0103797284307628
1559\1559_20250714_2025-07-14-111408-0000DLC_resnet50_Wheel_runningJul16shuffle1_100000_filtered.csv,1559,Training video,-0.579509491249729,0.21061573047405,0.178144415207904,0.231986322689183,0.143605147130886,0.158096646369885,0.237545040496973,0.317145881987039,0.167067104329444,0.442743794932387,0.318132037825926,0.177908319888616,0.455697051087195,-0.000501186436919207,0.000961459694143772,93.1334886487558,95.8077228115396,-1.04083235120307e-05,0.129459087071325,0.514638098946631,0.129489657121908,0.476053781789211,0.0147962724298602,0.0138957734377582,0.00742705132018109,0.00731139089917716
1559\1559_20250709_2025-07-09-122508-0000DLC_resnet50_Wheel_runningJul16shuffle1_100000_filtered.csv,1559,Training video,-0.153137536470384,0.1356969898981,0.143728036875041,0.200027093926566,0.104152569890233,0.130521843284688,0.224445646146688,0.221292661394621,0.208145299664863,0.428025156943741,0.233591957129481,0.159072740940608,0.409987759378758,-0.00112962556843342,-0.000487115986819214,97.2621098214717,98.3173425200019,7.3814082018466e-07,0.0451346111029034,0.592933412683374,0.212677253200886,0.597495707955411,0.00590801526103125,0.00620583074421675,0.00290571322783689,0.00381525781161963
1559\1559_20250713_2025-07-13-130845-0000DLC_resnet50_Wheel_runningJul16shuffle1_100000_filtered.csv,1559,Training video,-0.471114364918562,0.186617280456226,0.180089381508208,0.213946364826122,0.153839863193276,0.147357964793186,0.204790734865714,0.317316263492566,0.153689402383856,0.425779758069301,0.317487758948507,0.155602951090907,0.429016273725302,-0.00171879476028021,0.000786380735797355,94.6238767229058,96.620311806936,-5.67222464693998e-07,0.0669717556198455,0.48228811895532,0.123475008372643,0.500844435071695,0.0119186476318772,0.0098897668840663,0.0056020108097452,0.005618438993938
1559\1559_20250711_2025-07-11-115857-0000DLC_resnet50_Wheel_runningJul16shuffle1_100000_filtered.csv,1559,Training video,-0.286265047935136,0.144221100186182,0.141404032987742,0.205635617145563,0.135101192042642,0.146141011505894,0.210849792427035,0.265021930740922,0.200726097191362,0.449950326826379,0.256878491412848,0.178630174874387,0.42734103047506,-0.000409085098222989,-0.000405411618177407,95.8901310843058,97.7669085678794,-9.04219455381664e-07,0.072019965998391,0.538536027941152,0.126803230435037,0.507229143277958,0.00961884214311399,0.00903043378771534,0.0044620966951064,0.00579418783302278
